commute_route,daily_km,flights_per_year,transport_co2_kg,pc_type,gaming_hours,study_hours,phone_model,phone_charges_day,heating_type,tech_co2_kg,dj_hours_day,board_games_month,streaming_hours,recycling_habit,shower_minutes,pets,housework_freq,lifestyle_co2_kg,clothing_items_month,fashion_style,perfume_shipping,fashion_co2_kg,diet_type,coffee_cups_day,smoker,food_delivery,plastic_water,diet_co2_kg,total_daily_co2_kg
Electric Scooter / E-Bike,16.5,1,0.932,High-End Gaming Laptop,1.7,3.3,Flagship Phone (5000 mAh),1,Apartment (Natural Gas),4.541,0.0,2,3.1,Never,7.0,None,Dormitory / Outsourced,1.304,8,Streetwear / Heavy Denim,Rarely (1-2/yr),5.201,Vegan,2,No,Never,3-4 bottles/day,3.0,14.978
Metrobüs,10.7,1,1.38,Mid-Range Gaming Laptop,7.5,3.1,Budget Phone (4000 mAh),1,Family Home (High Usage),7.081,0.0,1,4.1,Strict Recycler,13.0,None,High (5+ cycles/wk),0.621,8,Fast Fashion,Rarely (1-2/yr),4.001,Vegetarian,5,No,Rarely (1-2/month),Tap / Filtered (0),3.825,16.909
Marmaray + Metro (cross-city),9.6,1,0.954,Mid-Range Gaming Laptop,0.9,5.2,Flagship Phone (5000 mAh),3,Apartment (Electric),4.165,0.0,1,2.8,Sometimes,5.0,Cat (Indoor),Low (1-2 cycles/wk),1.278,8,Designer / Luxury,Never,6.0,Moderate Meat,1,No,Rarely (1-2/month),3-4 bottles/day,5.665,18.061
Electric Scooter / E-Bike,10.2,1,0.838,High-End Gaming Laptop,0.0,5.2,Mid-Range Phone (4500 mAh),1,Family Home (High Usage),6.852,0.0,2,2.5,Sometimes,9.0,None,Medium (3-4 cycles/wk),1.121,1,Streetwear / Heavy Denim,Never,0.65,Moderate Meat,4,Yes,Frequently (3+/week),Tap / Filtered (0),6.407,15.868
Metrobüs,49.5,1,3.902,Tablet Only,1.4,4.2,Flagship Phone (5000 mAh),2,Dormitory (Shared),1.563,0.0,3,2.7,Strict Recycler,18.0,Small Dog,High (5+ cycles/wk),2.477,1,Streetwear / Heavy Denim,Rarely (1-2/yr),0.651,Heavy Meat Eater,1,No,Rarely (1-2/month),1-2 bottles/day,7.105,15.699
Metrobüs,25.5,1,2.342,Desktop Office PC,0.1,4.2,Mid-Range Phone (4500 mAh),1,Apartment (Electric),4.012,0.0,1,1.9,Strict Recycler,12.0,None,High (5+ cycles/wk),0.4,11,Streetwear / Heavy Denim,Never,7.15,Moderate Meat,2,No,Rarely (1-2/month),1-2 bottles/day,5.565,19.47
Marmaray + Metro (cross-city),10.6,2,1.667,Mid-Range Gaming Laptop,7.7,2.7,Mid-Range Phone (4500 mAh),3,Dormitory (Shared),2.093,0.0,0,2.5,Never,3.0,Small Dog,Dormitory / Outsourced,1.638,4,Minimal / Capsule,Frequently (monthly),1.014,Heavy Meat Eater,1,Yes,Rarely (1-2/month),1-2 bottles/day,7.705,14.116
Personal Car (Gasoline),2.7,0,0.518,Tablet Only,0.6,2.9,Budget Phone (4000 mAh),1,Apartment (Natural Gas),4.233,3.0,1,6.0,Never,3.0,None,Low (1-2 cycles/wk),0.974,2,Vintage / Thrift,Never,0.3,Moderate Meat,5,Yes,Frequently (3+/week),1-2 bottles/day,6.587,12.613
Personal Car (Hybrid),5.0,0,0.55,Mid-Range Gaming Laptop,3.9,1.4,Flagship Phone (5000 mAh),1,Apartment (Natural Gas),4.498,0.0,0,1.6,Strict Recycler,13.0,None,Dormitory / Outsourced,-0.012,6,Designer / Luxury,Frequently (monthly),4.514,Vegetarian,3,No,Never,Tap / Filtered (0),3.68,13.23
Walking / Cycling,21.2,2,1.37,High-End Gaming Laptop,3.7,3.6,Flagship Phone (5000 mAh),3,Dormitory (Shared),2.016,0.0,3,2.6,Sometimes,16.0,None,Low (1-2 cycles/wk),1.85,2,Vintage / Thrift,Sometimes (3-6/yr),0.305,Vegetarian,5,No,Sometimes (1-2/week),1-2 bottles/day,4.02,9.561
Personal Car (Hybrid),3.4,1,1.059,Desktop Office PC,0.6,5.2,Flagship Phone (5000 mAh),1,Apartment (Electric),4.084,1.0,0,2.4,Never,4.0,None,Dormitory / Outsourced,0.656,5,Streetwear / Heavy Denim,Rarely (1-2/yr),3.251,Heavy Meat Eater,4,No,Sometimes (1-2/week),Tap / Filtered (0),7.24,16.29
Walking / Cycling,18.3,1,0.685,Desktop Office PC,2.4,6.0,Budget Phone (4000 mAh),1,Apartment (Electric),4.203,1.0,0,2.6,Strict Recycler,14.0,Small Dog,Dormitory / Outsourced,1.267,7,Vintage / Thrift,Sometimes (3-6/yr),1.055,Moderate Meat,5,No,Frequently (3+/week),1-2 bottles/day,5.987,13.197
Electric Scooter / E-Bike,7.1,1,0.791,Tablet Only,0.1,3.6,Budget Phone (4000 mAh),1,Dormitory (Shared),1.535,4.0,3,2.5,Sometimes,19.0,None,High (5+ cycles/wk),2.56,6,Streetwear / Heavy Denim,Sometimes (3-6/yr),3.905,Moderate Meat,2,No,Sometimes (1-2/week),1-2 bottles/day,5.64,14.432
Ferry + Bus,15.9,1,2.195,High-End Gaming Laptop,1.7,4.7,Mid-Range Phone (4500 mAh),3,Apartment (Natural Gas),4.652,0.0,5,3.4,Never,21.0,None,High (5+ cycles/wk),3.549,2,Fast Fashion,Never,1.0,Heavy Meat Eater,3,No,Rarely (1-2/month),Tap / Filtered (0),7.105,18.501
Marmaray + Metro (cross-city),15.6,0,0.437,Tablet Only,0.0,0.0,Mid-Range Phone (4500 mAh),1,Dormitory (Shared),1.51,1.0,1,0.4,Never,14.0,None,Low (1-2 cycles/wk),1.719,3,Vintage / Thrift,Rarely (1-2/yr),0.451,Moderate Meat,3,No,Rarely (1-2/month),1-2 bottles/day,5.625,9.743
Personal Car (Hybrid),16.2,0,1.782,Desktop Office PC,6.4,3.4,Mid-Range Phone (4500 mAh),2,Apartment (Natural Gas),4.681,1.0,3,4.6,Sometimes,15.0,None,Low (1-2 cycles/wk),1.884,3,Vintage / Thrift,Rarely (1-2/yr),0.451,Moderate Meat,2,No,Rarely (1-2/month),1-2 bottles/day,5.565,14.363
Personal Car (Hybrid),11.3,1,1.928,Desktop Office PC,9.3,3.3,Budget Phone (4000 mAh),2,Apartment (Electric),4.409,0.0,0,3.9,Strict Recycler,3.0,Cat (Indoor),Low (1-2 cycles/wk),-0.028,4,Streetwear / Heavy Denim,Rarely (1-2/yr),2.601,Pescatarian,0,No,Sometimes (1-2/week),Tap / Filtered (0),4.6,13.51
Electric Scooter / E-Bike,11.0,1,0.85,Standard Office Laptop,0.6,6.2,Budget Phone (4000 mAh),1,Dormitory (Shared),1.652,0.0,1,1.1,Sometimes,22.0,Cat (Indoor),Low (1-2 cycles/wk),2.884,2,Streetwear / Heavy Denim,Rarely (1-2/yr),1.301,Vegan,5,No,Sometimes (1-2/week),5+ bottles/day,3.4,10.088
Personal Car (Gasoline),9.0,2,3.098,Tablet Only,0.6,4.6,Budget Phone (4000 mAh),1,Family Home (High Usage),6.545,0.0,5,0.0,Never,9.0,Cat (Indoor),Medium (3-4 cycles/wk),2.833,3,Designer / Luxury,Rarely (1-2/yr),2.251,Moderate Meat,1,No,Sometimes (1-2/week),1-2 bottles/day,5.58,20.308
Metrobüs,20.9,3,3.413,Standard Office Laptop,3.5,4.7,Mid-Range Phone (4500 mAh),1,Dormitory (Shared),1.684,0.0,2,1.5,Never,7.0,None,Medium (3-4 cycles/wk),1.366,4,Designer / Luxury,Rarely (1-2/yr),3.001,Vegetarian,3,No,Rarely (1-2/month),Tap / Filtered (0),3.705,13.169
Electric Scooter / E-Bike,26.1,1,1.076,High-End Gaming Laptop,0.7,4.7,Budget Phone (4000 mAh),3,Apartment (Natural Gas),4.581,0.0,4,2.6,Sometimes,11.0,Small Dog,Dormitory / Outsourced,2.61,4,Streetwear / Heavy Denim,Rarely (1-2/yr),2.601,Heavy Meat Eater,4,Yes,Sometimes (1-2/week),Tap / Filtered (0),7.84,18.708
Personal Car (Diesel),6.3,2,2.447,Ultrabook / Thin Laptop,5.6,4.1,Mid-Range Phone (4500 mAh),1,Apartment (Natural Gas),4.347,0.0,2,6.9,Never,20.0,Cat (Indoor),Medium (3-4 cycles/wk),3.813,6,Streetwear / Heavy Denim,Rarely (1-2/yr),3.901,Vegan,4,Yes,Frequently (3+/week),1-2 bottles/day,3.827,18.335
Metrobüs,14.4,1,1.621,Mid-Range Gaming Laptop,2.1,6.3,Mid-Range Phone (4500 mAh),2,Dormitory (Shared),1.975,0.0,0,3.8,Never,23.0,None,High (5+ cycles/wk),2.938,4,Minimal / Capsule,Rarely (1-2/yr),1.001,Heavy Meat Eater,0,No,Frequently (3+/week),Tap / Filtered (0),7.167,14.701
Marmaray + Metro (cross-city),17.1,1,1.164,Standard Office Laptop,1.1,0.5,Flagship Phone (5000 mAh),3,Dormitory (Shared),1.569,0.0,1,0.3,Sometimes,13.0,None,High (5+ cycles/wk),1.412,2,Designer / Luxury,Sometimes (3-6/yr),1.505,Heavy Meat Eater,6,No,Sometimes (1-2/week),Tap / Filtered (0),7.36,13.01
Metrobüs,16.9,2,2.468,Mid-Range Gaming Laptop,4.5,4.2,Flagship Phone (5000 mAh),1,Apartment (Electric),4.282,0.0,0,2.0,Never,17.0,Small Dog,Medium (3-4 cycles/wk),3.16,5,Minimal / Capsule,Rarely (1-2/yr),1.251,Heavy Meat Eater,3,No,Sometimes (1-2/week),Tap / Filtered (0),7.18,18.342
Personal Car (Gasoline),16.7,1,3.891,Desktop Gaming PC,1.7,5.7,Flagship Phone (5000 mAh),3,Apartment (Electric),5.053,0.0,3,2.9,Sometimes,12.0,None,Medium (3-4 cycles/wk),1.61,6,Fast Fashion,Sometimes (3-6/yr),3.005,Moderate Meat,5,No,Rarely (1-2/month),1-2 bottles/day,5.745,19.304
Metrobüs,11.2,1,1.413,High-End Gaming Laptop,6.1,1.2,Mid-Range Phone (4500 mAh),3,Dormitory (Shared),2.011,1.0,2,3.4,Sometimes,7.0,Cat (Indoor),Medium (3-4 cycles/wk),1.844,3,Fast Fashion,Rarely (1-2/yr),1.501,Pescatarian,1,No,Rarely (1-2/month),1-2 bottles/day,4.705,11.474
Marmaray + Metro (cross-city),18.1,0,0.507,Ultrabook / Thin Laptop,6.6,5.3,Flagship Phone (5000 mAh),1,Apartment (Natural Gas),4.38,2.0,0,1.0,Sometimes,19.0,None,High (5+ cycles/wk),1.931,5,Streetwear / Heavy Denim,Rarely (1-2/yr),3.251,Vegan,4,No,Never,Tap / Filtered (0),2.84,12.908
Personal Car (Gasoline),22.9,1,5.082,Desktop Gaming PC,0.5,2.9,Flagship Phone (5000 mAh),2,Dormitory (Shared),2.083,1.0,2,2.8,Never,9.0,None,High (5+ cycles/wk),1.839,1,Vintage / Thrift,Rarely (1-2/yr),0.151,Vegetarian,4,No,Rarely (1-2/month),1-2 bottles/day,3.885,13.04
Personal Car (Hybrid),16.4,3,3.859,Desktop Gaming PC,0.0,4.2,Flagship Phone (5000 mAh),1,Dormitory (Shared),2.203,3.0,0,1.9,Sometimes,20.0,Cat (Indoor),Medium (3-4 cycles/wk),2.775,3,Streetwear / Heavy Denim,Never,1.95,Moderate Meat,5,Yes,Rarely (1-2/month),5+ bottles/day,6.625,17.411
Personal Car (Hybrid),21.2,3,4.387,Desktop Office PC,10.3,2.8,Budget Phone (4000 mAh),1,Apartment (Natural Gas),4.824,3.0,0,1.3,Sometimes,18.0,Cat (Indoor),Dormitory / Outsourced,2.392,8,Streetwear / Heavy Denim,Frequently (monthly),5.214,Pescatarian,4,No,Sometimes (1-2/week),5+ bottles/day,5.24,22.057
Walking / Cycling,29.8,2,1.37,Desktop Gaming PC,5.9,5.4,Mid-Range Phone (4500 mAh),2,Dormitory (Shared),3.38,1.0,0,3.4,Never,15.0,None,Low (1-2 cycles/wk),1.818,8,Streetwear / Heavy Denim,Never,5.2,Pescatarian,2,No,Sometimes (1-2/week),3-4 bottles/day,5.0,16.767
Metrobüs,4.1,2,1.636,High-End Gaming Laptop,0.1,3.6,Flagship Phone (5000 mAh),1,Apartment (Electric),4.055,0.0,1,4.2,Sometimes,21.0,Cat (Indoor),High (5+ cycles/wk),3.276,4,Vintage / Thrift,Rarely (1-2/yr),0.601,Vegetarian,2,No,Rarely (1-2/month),3-4 bottles/day,3.925,13.494
Personal Car (Hybrid),28.8,1,3.853,Standard Office Laptop,4.5,5.3,Budget Phone (4000 mAh),2,Apartment (Natural Gas),4.424,1.0,3,4.3,Never,23.0,None,Medium (3-4 cycles/wk),3.31,5,Fast Fashion,Never,2.5,Vegetarian,1,No,Never,Tap / Filtered (0),3.56,17.647
Marmaray + Metro (cross-city),18.9,1,1.214,High-End Gaming Laptop,1.5,4.7,Budget Phone (4000 mAh),2,Family Home (High Usage),6.925,0.0,2,3.9,Strict Recycler,11.0,Cat (Indoor),High (5+ cycles/wk),1.426,7,Vintage / Thrift,Never,1.05,Pescatarian,3,Yes,Never,Tap / Filtered (0),5.28,15.895
Bus Only,6.8,0,0.714,Standard Office Laptop,0.7,2.8,Budget Phone (4000 mAh),2,Apartment (Natural Gas),4.291,4.0,3,2.3,Sometimes,8.0,Small Dog,Dormitory / Outsourced,2.22,9,Minimal / Capsule,Sometimes (3-6/yr),2.255,Pescatarian,6,No,Never,1-2 bottles/day,4.98,14.461
Bus Only,26.1,1,3.425,Desktop Gaming PC,5.3,4.8,Flagship Phone (5000 mAh),1,Family Home (High Usage),8.173,3.0,0,4.1,Sometimes,3.0,Small Dog,High (5+ cycles/wk),1.625,4,Designer / Luxury,Rarely (1-2/yr),3.001,Vegetarian,1,No,Rarely (1-2/month),1-2 bottles/day,3.705,19.93
Personal Car (Gasoline),11.3,1,2.855,Desktop Gaming PC,0.5,3.0,Budget Phone (4000 mAh),3,Apartment (Natural Gas),4.801,0.0,1,3.5,Never,23.0,None,Medium (3-4 cycles/wk),2.909,4,Fast Fashion,Sometimes (3-6/yr),2.005,Heavy Meat Eater,1,No,Frequently (3+/week),3-4 bottles/day,7.507,20.077
Personal Car (Hybrid),12.4,4,4.104,Ultrabook / Thin Laptop,7.4,4.1,Mid-Range Phone (4500 mAh),2,Apartment (Natural Gas),4.383,1.0,3,3.2,Strict Recycler,10.0,None,Low (1-2 cycles/wk),0.307,3,Minimal / Capsule,Never,0.75,Moderate Meat,3,No,Rarely (1-2/month),Tap / Filtered (0),5.505,15.048
Personal Car (Hybrid),10.4,1,1.829,Standard Office Laptop,0.6,3.5,Budget Phone (4000 mAh),3,Family Home (High Usage),6.612,3.0,5,2.1,Sometimes,18.0,Cat (Indoor),Dormitory / Outsourced,3.269,1,Fast Fashion,Never,0.5,Pescatarian,6,Yes,Rarely (1-2/month),1-2 bottles/day,5.605,17.815
Bus Only,18.4,1,2.617,Desktop Gaming PC,2.4,5.3,Budget Phone (4000 mAh),1,Apartment (Natural Gas),5.475,1.0,0,2.3,Never,8.0,None,Medium (3-4 cycles/wk),1.2,3,Streetwear / Heavy Denim,Never,1.95,Vegetarian,1,No,Never,1-2 bottles/day,3.68,14.922
Personal Car (Hybrid),8.6,1,1.631,Desktop Office PC,0.6,4.8,Budget Phone (4000 mAh),2,Dormitory (Shared),1.771,0.0,1,3.1,Sometimes,20.0,None,Low (1-2 cycles/wk),1.944,6,Minimal / Capsule,Rarely (1-2/yr),1.501,Moderate Meat,2,No,Sometimes (1-2/week),1-2 bottles/day,5.64,12.487
Metrobüs,28.0,1,2.505,Mid-Range Gaming Laptop,2.0,4.0,Budget Phone (4000 mAh),3,Apartment (Natural Gas),4.55,2.0,0,6.7,Never,8.0,Small Dog,High (5+ cycles/wk),2.744,6,Streetwear / Heavy Denim,Sometimes (3-6/yr),3.905,Vegan,6,Yes,Sometimes (1-2/week),1-2 bottles/day,3.78,17.484
Personal Car (Diesel),13.5,2,3.678,Ultrabook / Thin Laptop,2.9,3.0,Mid-Range Phone (4500 mAh),2,Family Home (High Usage),6.604,4.0,2,3.5,Never,6.0,None,Medium (3-4 cycles/wk),1.47,8,Fast Fashion,Rarely (1-2/yr),4.001,Moderate Meat,4,No,Rarely (1-2/month),Tap / Filtered (0),5.565,21.318
Ferry + Bus,11.5,0,1.092,High-End Gaming Laptop,0.5,2.1,Flagship Phone (5000 mAh),2,Apartment (Electric),3.995,0.0,3,2.1,Sometimes,11.0,None,Low (1-2 cycles/wk),1.323,1,Fast Fashion,Rarely (1-2/yr),0.501,Moderate Meat,0,No,Frequently (3+/week),5+ bottles/day,5.967,12.878
Walking / Cycling,25.2,1,0.685,Ultrabook / Thin Laptop,1.8,4.2,Mid-Range Phone (4500 mAh),2,Apartment (Natural Gas),4.305,3.0,4,1.8,Strict Recycler,9.0,None,Dormitory / Outsourced,0.336,4,Fast Fashion,Frequently (monthly),2.014,Moderate Meat,5,No,Sometimes (1-2/week),1-2 bottles/day,5.82,13.16
Personal Car (Gasoline),11.9,2,3.655,Mid-Range Gaming Laptop,1.6,3.1,Mid-Range Phone (4500 mAh),2,Apartment (Natural Gas),4.475,0.0,0,2.3,Sometimes,15.0,None,Medium (3-4 cycles/wk),1.376,1,Vintage / Thrift,Never,0.15,Vegan,3,No,Rarely (1-2/month),1-2 bottles/day,2.925,12.581
Personal Car (Diesel),28.9,1,5.627,Standard Office Laptop,0.2,1.2,Flagship Phone (5000 mAh),2,Family Home (High Usage),6.553,1.0,5,6.3,Sometimes,12.0,None,Medium (3-4 cycles/wk),2.153,2,Streetwear / Heavy Denim,Rarely (1-2/yr),1.301,Moderate Meat,1,No,Rarely (1-2/month),Tap / Filtered (0),5.385,21.02
Bus Only,29.5,0,3.098,High-End Gaming Laptop,4.3,2.0,Budget Phone (4000 mAh),3,Dormitory (Shared),1.94,0.0,0,2.4,Never,15.0,Small Dog,High (5+ cycles/wk),3.161,8,Vintage / Thrift,Rarely (1-2/yr),1.201,Moderate Meat,1,Yes,Rarely (1-2/month),1-2 bottles/day,6.105,15.504
Personal Car (Hybrid),5.8,1,1.323,High-End Gaming Laptop,1.0,6.4,Flagship Phone (5000 mAh),2,Apartment (Natural Gas),4.71,0.0,0,4.4,Never,11.0,None,Dormitory / Outsourced,1.442,4,Designer / Luxury,Never,3.0,Heavy Meat Eater,2,Yes,Rarely (1-2/month),Tap / Filtered (0),7.645,18.12
Walking / Cycling,32.3,2,1.37,Standard Office Laptop,2.1,3.0,Flagship Phone (5000 mAh),1,Dormitory (Shared),1.62,1.0,0,2.4,Strict Recycler,9.0,None,Low (1-2 cycles/wk),-0.337,6,Fast Fashion,Never,3.0,Moderate Meat,3,No,Sometimes (1-2/week),Tap / Filtered (0),5.58,11.232
Personal Car (Hybrid),5.3,0,0.583,Tablet Only,1.8,5.6,Mid-Range Phone (4500 mAh),1,Apartment (Natural Gas),4.263,4.0,3,3.4,Sometimes,9.0,Cat (Indoor),High (5+ cycles/wk),2.46,1,Fast Fashion,Never,0.5,Vegetarian,5,Yes,Never,Tap / Filtered (0),4.4,12.205
Marmaray + Metro (cross-city),33.8,2,2.316,Tablet Only,1.8,3.5,Flagship Phone (5000 mAh),1,Apartment (Natural Gas),4.249,0.0,3,4.2,Sometimes,22.0,Cat (Indoor),High (5+ cycles/wk),3.71,3,Fast Fashion,Sometimes (3-6/yr),1.505,Moderate Meat,1,No,Rarely (1-2/month),Tap / Filtered (0),5.385,17.165
Marmaray + Metro (cross-city),61.6,2,3.095,Ultrabook / Thin Laptop,0.3,5.9,Budget Phone (4000 mAh),2,Dormitory (Shared),1.604,1.0,5,2.1,Strict Recycler,13.0,Cat (Indoor),Medium (3-4 cycles/wk),1.872,5,Minimal / Capsule,Rarely (1-2/yr),1.251,Vegetarian,2,Yes,Rarely (1-2/month),1-2 bottles/day,4.365,12.188
Walking / Cycling,27.5,1,0.685,Desktop Gaming PC,1.4,5.8,Mid-Range Phone (4500 mAh),2,Dormitory (Shared),2.705,2.0,2,2.0,Sometimes,3.0,None,Medium (3-4 cycles/wk),0.54,1,Designer / Luxury,Sometimes (3-6/yr),0.755,Vegan,3,No,Rarely (1-2/month),Tap / Filtered (0),2.805,7.491
Walking / Cycling,3.3,5,3.425,Tablet Only,1.5,2.8,Budget Phone (4000 mAh),2,Apartment (Natural Gas),4.247,0.0,0,5.5,Sometimes,9.0,Cat (Indoor),Low (1-2 cycles/wk),1.66,3,Minimal / Capsule,Rarely (1-2/yr),0.751,Heavy Meat Eater,3,No,Frequently (3+/week),3-4 bottles/day,7.627,17.71
Bus Only,31.3,2,4.656,Ultrabook / Thin Laptop,3.3,1.0,Mid-Range Phone (4500 mAh),1,Dormitory (Shared),1.571,2.0,0,4.5,Sometimes,12.0,None,High (5+ cycles/wk),1.423,1,Streetwear / Heavy Denim,Rarely (1-2/yr),0.651,Vegetarian,2,No,Rarely (1-2/month),Tap / Filtered (0),3.645,11.947
Walking / Cycling,71.7,2,1.37,Tablet Only,4.6,1.1,Budget Phone (4000 mAh),2,Dormitory (Shared),1.557,0.0,1,4.2,Sometimes,21.0,None,Dormitory / Outsourced,2.098,5,Streetwear / Heavy Denim,Sometimes (3-6/yr),3.255,Moderate Meat,1,No,Never,Tap / Filtered (0),5.36,13.64
Metrobüs,12.0,2,2.15,Mid-Range Gaming Laptop,2.0,2.8,Flagship Phone (5000 mAh),3,Apartment (Electric),4.095,0.0,1,4.2,Never,17.0,None,Low (1-2 cycles/wk),2.205,10,Streetwear / Heavy Denim,Frequently (monthly),6.514,Heavy Meat Eater,4,No,Sometimes (1-2/week),3-4 bottles/day,7.52,22.483
Personal Car (Hybrid),14.5,0,1.595,Desktop Office PC,0.2,6.8,Flagship Phone (5000 mAh),2,Dormitory (Shared),1.852,0.0,1,3.7,Strict Recycler,7.0,None,Dormitory / Outsourced,-0.33,6,Streetwear / Heavy Denim,Never,3.9,Pescatarian,1,No,Rarely (1-2/month),Tap / Filtered (0),4.585,11.603
Personal Car (Diesel),6.5,0,1.112,Desktop Gaming PC,0.7,3.4,Flagship Phone (5000 mAh),2,Apartment (Natural Gas),4.898,0.0,0,6.0,Never,24.0,None,High (5+ cycles/wk),3.159,10,Fast Fashion,Rarely (1-2/yr),5.001,Vegetarian,2,No,Never,Tap / Filtered (0),3.62,17.789
Electric Scooter / E-Bike,18.5,1,0.962,Ultrabook / Thin Laptop,0.5,4.2,Budget Phone (4000 mAh),2,Family Home (High Usage),6.583,0.0,0,3.1,Sometimes,12.0,Cat (Indoor),Medium (3-4 cycles/wk),1.971,7,Minimal / Capsule,Sometimes (3-6/yr),1.755,Moderate Meat,6,No,Rarely (1-2/month),Tap / Filtered (0),5.685,16.957
Walking / Cycling,36.2,0,0.0,Desktop Office PC,0.3,6.0,Mid-Range Phone (4500 mAh),2,Dormitory (Shared),1.817,1.0,0,3.9,Never,18.0,None,High (5+ cycles/wk),2.467,7,Fast Fashion,Frequently (monthly),3.514,Heavy Meat Eater,2,Yes,Rarely (1-2/month),3-4 bottles/day,7.925,15.722
Personal Car (Gasoline),24.2,1,5.331,Desktop Office PC,1.1,4.2,Mid-Range Phone (4500 mAh),3,Dormitory (Shared),1.78,0.0,0,0.8,Sometimes,6.0,Cat (Indoor),Low (1-2 cycles/wk),1.101,4,Minimal / Capsule,Frequently (monthly),1.014,Vegan,0,No,Rarely (1-2/month),3-4 bottles/day,2.905,12.131
Marmaray + Metro (cross-city),120.0,3,5.415,Tablet Only,0.7,4.1,Mid-Range Phone (4500 mAh),1,Apartment (Natural Gas),4.244,0.0,0,1.8,Never,3.0,None,Dormitory / Outsourced,0.499,4,Streetwear / Heavy Denim,Rarely (1-2/yr),2.601,Vegetarian,3,No,Rarely (1-2/month),Tap / Filtered (0),3.705,16.464
Metrobüs,15.2,2,2.358,Standard Office Laptop,0.6,4.9,Flagship Phone (5000 mAh),1,Apartment (Electric),3.928,1.0,0,1.2,Never,5.0,None,High (5+ cycles/wk),1.018,3,Minimal / Capsule,Never,0.75,Moderate Meat,2,No,Never,1-2 bottles/day,5.54,13.594
Electric Scooter / E-Bike,4.8,1,0.757,Mid-Range Gaming Laptop,0.1,4.4,Budget Phone (4000 mAh),1,Family Home (High Usage),6.752,0.0,5,4.9,Sometimes,3.0,None,High (5+ cycles/wk),1.331,6,Streetwear / Heavy Denim,Never,3.9,Moderate Meat,6,No,Sometimes (1-2/week),1-2 bottles/day,5.88,18.62
Personal Car (Diesel),16.8,3,4.928,Mid-Range Gaming Laptop,0.0,3.9,Mid-Range Phone (4500 mAh),1,Family Home (High Usage),6.721,1.0,1,0.0,Sometimes,23.0,Small Dog,High (5+ cycles/wk),3.519,2,Minimal / Capsule,Frequently (monthly),0.514,Heavy Meat Eater,1,Yes,Never,3-4 bottles/day,7.84,23.521
Electric Scooter / E-Bike,2.7,2,1.41,Mid-Range Gaming Laptop,0.3,2.9,Budget Phone (4000 mAh),1,Apartment (Electric),3.981,0.0,0,2.4,Never,13.0,Small Dog,High (5+ cycles/wk),2.961,1,Streetwear / Heavy Denim,Rarely (1-2/yr),0.651,Moderate Meat,4,Yes,Frequently (3+/week),Tap / Filtered (0),6.407,15.41
Walking / Cycling,10.2,1,0.685,Desktop Gaming PC,0.5,4.1,Mid-Range Phone (4500 mAh),2,Dormitory (Shared),2.277,2.0,1,0.0,Never,7.0,Medium/Large Dog,Dormitory / Outsourced,3.514,9,Minimal / Capsule,Never,2.25,Moderate Meat,2,No,Rarely (1-2/month),3-4 bottles/day,5.725,14.451
Bus Only,46.4,0,4.872,High-End Gaming Laptop,1.4,5.6,Flagship Phone (5000 mAh),2,Dormitory (Shared),1.984,2.0,0,1.8,Never,14.0,Cat (Indoor),High (5+ cycles/wk),2.825,0,Streetwear / Heavy Denim,Frequently (monthly),0.014,Moderate Meat,0,No,Sometimes (1-2/week),Tap / Filtered (0),5.4,15.094
Marmaray + Metro (cross-city),18.7,1,1.209,Desktop Gaming PC,1.8,6.7,Budget Phone (4000 mAh),1,Dormitory (Shared),2.907,0.0,2,2.3,Never,13.0,Cat (Indoor),Dormitory / Outsourced,2.71,10,Fast Fashion,Never,5.0,Moderate Meat,4,Yes,Sometimes (1-2/week),Tap / Filtered (0),6.24,18.065
Marmaray + Metro (cross-city),16.9,2,1.843,Ultrabook / Thin Laptop,0.4,4.4,Mid-Range Phone (4500 mAh),2,Dormitory (Shared),1.588,2.0,0,5.1,Sometimes,15.0,Cat (Indoor),High (5+ cycles/wk),2.606,5,Fast Fashion,Sometimes (3-6/yr),2.505,Vegetarian,3,No,Rarely (1-2/month),Tap / Filtered (0),3.705,12.248
Bus Only,53.2,1,6.271,Desktop Office PC,1.4,5.1,Mid-Range Phone (4500 mAh),1,Apartment (Natural Gas),4.516,1.0,1,3.6,Strict Recycler,18.0,Cat (Indoor),Low (1-2 cycles/wk),1.645,3,Fast Fashion,Rarely (1-2/yr),1.501,Moderate Meat,1,No,Sometimes (1-2/week),1-2 bottles/day,5.58,19.513
Personal Car (Hybrid),12.3,1,2.038,Desktop Office PC,1.0,4.4,Mid-Range Phone (4500 mAh),3,Apartment (Natural Gas),4.485,0.0,2,1.8,Sometimes,11.0,None,Dormitory / Outsourced,1.132,5,Vintage / Thrift,Never,0.75,Pescatarian,1,No,Sometimes (1-2/week),1-2 bottles/day,4.78,13.185
Ferry + Bus,36.0,0,3.42,High-End Gaming Laptop,0.5,3.9,Mid-Range Phone (4500 mAh),1,Dormitory (Shared),1.8,2.0,0,4.6,Never,8.0,None,High (5+ cycles/wk),1.529,6,Minimal / Capsule,Rarely (1-2/yr),1.501,Moderate Meat,3,Yes,Rarely (1-2/month),1-2 bottles/day,6.225,14.475
